date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,11,9,0.0,8.7,2,20,09:39 AM,08:40 PM,07:25 AM,05:02 PM,5,7,9,7,30,45,74,0.0,1015,11,10,286,20,94128
2017-01-02,10,8,0.0,8.7,2,27,10:16 AM,09:42 PM,07:25 AM,05:03 PM,5,7,9,7,16,64,76,2.1,1017,10,8,202,11,94128
2017-01-03,12,8,0.0,3.7,3,34,10:52 AM,10:44 PM,07:25 AM,05:04 PM,8,7,10,7,43,99,88,28.3,1016,12,8,157,28,94128
2017-01-04,12,9,0.0,3.7,3,41,11:27 AM,11:48 PM,07:25 AM,05:05 PM,9,9,11,9,21,100,91,21.0,1014,12,8,250,14,94128
2017-01-05,10,7,0.0,8.7,3,49,12:02 PM,No moonset,07:25 AM,05:06 PM,2,6,9,6,16,14,64,0.4,1017,10,9,247,12,94128
2017-01-06,10,4,0.0,7.0,2,56,12:39 PM,12:53 AM,07:25 AM,05:07 PM,-0,5,7,5,14,43,59,0.5,1018,10,9,75,10,94128
2017-01-07,13,7,0.0,3.7,3,63,01:19 PM,02:00 AM,07:25 AM,05:08 PM,9,8,11,8,42,97,90,24.3,1014,13,5,143,25,94128
2017-01-08,15,12,0.0,3.7,3,70,02:03 PM,03:08 AM,07:25 AM,05:09 PM,12,10,13,10,58,96,93,56.2,1012,15,6,172,34,94128
2017-01-09,13,11,0.0,3.7,3,78,02:53 PM,04:16 AM,07:25 AM,05:10 PM,9,9,12,9,30,70,86,16.0,1017,13,9,208,19,94128
2017-01-10,14,11,0.0,3.7,3,85,03:49 PM,05:23 AM,07:25 AM,05:11 PM,11,10,13,10,49,87,93,41.4,1012,14,7,197,30,94128
2017-01-11,12,10,0.0,8.7,3,92,04:50 PM,06:25 AM,07:25 AM,05:11 PM,8,9,11,9,27,28,80,4.0,1012,12,9,235,17,94128
2017-01-12,10,7,0.0,3.7,2,100,05:55 PM,07:22 AM,07:24 AM,05:13 PM,6,7,9,7,12,67,82,11.1,1014,10,8,272,9,94128
2017-01-13,16,8,0.0,8.7,4,100,07:00 PM,08:11 AM,07:24 AM,05:14 PM,6,9,11,9,11,6,72,0.0,1021,16,10,138,8,94128
2017-01-14,13,8,0.0,7.0,3,86,08:04 PM,08:55 AM,07:24 AM,05:15 PM,5,9,10,9,10,24,73,0.0,1022,13,10,189,6,94128
2017-01-15,14,7,0.0,8.7,4,79,09:07 PM,09:34 AM,07:23 AM,05:16 PM,6,9,10,9,11,10,76,0.0,1020,14,10,150,8,94128
2017-01-16,13,5,0.0,8.7,3,71,10:07 PM,10:08 AM,07:23 AM,05:17 PM,5,8,10,8,14,5,72,0.0,1020,13,10,40,11,94128
2017-01-17,14,7,0.0,8.7,3,64,11:05 PM,10:40 AM,07:23 AM,05:18 PM,5,9,10,9,9,20,73,0.0,1019,14,10,59,7,94128
2017-01-18,12,8,0.0,3.7,3,57,No moonrise,11:12 AM,07:22 AM,05:19 PM,8,8,11,8,44,59,85,34.3,1014,12,7,161,27,94128
2017-01-19,13,10,0.0,8.7,3,50,12:01 AM,11:43 AM,07:22 AM,05:20 PM,8,9,11,9,26,42,81,14.0,1011,13,9,228,17,94128
2017-01-20,12,10,0.0,5.4,3,42,12:57 AM,12:14 PM,07:21 AM,05:21 PM,8,8,11,8,40,75,81,34.8,996,12,8,227,27,94128
2017-01-21,12,9,0.0,5.4,3,35,01:52 AM,12:48 PM,07:21 AM,05:22 PM,7,7,10,7,37,61,79,16.2,1008,12,9,210,24,94128
2017-01-22,13,9,0.0,7.1,3,28,02:46 AM,01:25 PM,07:20 AM,05:23 PM,8,8,11,8,35,74,83,40.6,1005,13,8,209,24,94128
2017-01-23,11,8,0.0,7.1,2,20,03:40 AM,02:06 PM,07:20 AM,05:24 PM,5,7,9,7,14,45,73,8.5,1010,11,9,234,9,94128
2017-01-24,13,6,0.0,8.7,4,13,04:32 AM,02:51 PM,07:19 AM,05:25 PM,5,7,9,7,18,21,77,0.8,1017,13,10,139,13,94128
2017-01-25,13,6,0.0,8.7,4,6,05:23 AM,03:40 PM,07:18 AM,05:26 PM,6,10,10,10,8,10,77,0.0,1027,13,10,265,6,94128
2017-01-26,15,7,0.0,8.7,3,0,06:11 AM,04:34 PM,07:18 AM,05:28 PM,6,9,10,9,10,17,77,0.0,1030,15,10,196,7,94128
2017-01-27,18,7,0.0,8.7,4,0,06:56 AM,05:32 PM,07:17 AM,05:29 PM,5,9,11,9,15,6,66,0.0,1033,18,10,158,9,94128
2017-01-28,14,7,0.0,8.7,4,1,07:38 AM,06:31 PM,07:16 AM,05:30 PM,5,9,11,9,15,3,68,0.0,1033,14,10,56,11,94128
2017-01-29,17,8,0.0,8.7,4,8,08:17 AM,07:34 PM,07:16 AM,05:31 PM,6,11,12,11,14,10,70,0.0,1028,17,10,51,10,94128
2017-01-30,16,8,0.0,5.4,3,16,08:54 AM,08:37 PM,07:15 AM,05:32 PM,5,10,11,10,15,50,67,0.0,1022,16,10,50,8,94128
2017-01-31,16,8,0.0,7.1,3,20,09:30 AM,09:41 PM,07:14 AM,05:33 PM,7,11,12,11,11,24,73,0.0,1019,16,10,66,6,94128
2017-02-01,13,9,0.0,3.8,3,31,10:05 AM,10:46 PM,07:13 AM,05:34 PM,7,9,11,9,20,68,75,0.0,1015,13,10,130,11,94128
2017-02-02,14,11,0.0,3.8,3,39,10:41 AM,11:52 PM,07:12 AM,05:35 PM,10,10,12,10,36,83,87,6.2,1015,14,9,149,22,94128
2017-02-03,15,11,0.0,8.7,3,46,11:19 AM,No moonset,07:11 AM,05:36 PM,11,10,13,10,37,42,89,19.5,1014,15,9,194,22,94128
2017-02-04,14,11,0.0,7.1,3,54,12:00 PM,12:58 AM,07:10 AM,05:38 PM,10,11,12,11,20,64,90,3.6,1019,14,8,189,12,94128
2017-02-05,14,10,0.0,5.5,3,62,12:47 PM,02:04 AM,07:09 AM,05:39 PM,10,10,12,10,36,79,88,9.1,1013,14,9,165,24,94128
2017-02-06,14,12,0.0,3.9,3,69,01:38 PM,03:09 AM,07:08 AM,05:40 PM,12,11,13,11,36,91,92,13.4,1011,14,10,189,23,94128
2017-02-07,15,13,0.0,3.9,3,77,02:35 PM,04:11 AM,07:07 AM,05:41 PM,13,13,14,13,37,98,95,34.7,1013,15,5,204,22,94128
2017-02-08,16,13,0.0,3.9,3,84,03:37 PM,05:09 AM,07:06 AM,05:42 PM,13,13,14,13,31,93,96,16.2,1018,16,9,172,18,94128
2017-02-09,15,13,0.0,3.9,3,92,04:40 PM,06:00 AM,07:05 AM,05:43 PM,13,12,14,12,38,95,94,49.4,1014,15,7,180,23,94128
2017-02-10,15,10,0.0,8.7,3,99,05:45 PM,06:46 AM,07:04 AM,05:44 PM,11,12,13,12,16,35,89,3.9,1017,15,9,262,11,94128
2017-02-11,16,9,0.0,8.7,4,100,06:48 PM,07:27 AM,07:03 AM,05:45 PM,7,10,12,10,22,1,75,0.1,1023,16,10,318,15,94128
2017-02-12,17,10,0.0,8.7,4,86,07:51 PM,08:04 AM,07:02 AM,05:46 PM,7,12,13,12,10,7,70,0.0,1023,17,10,222,6,94128
2017-02-13,15,8,0.0,7.1,4,78,08:50 PM,08:37 AM,07:01 AM,05:47 PM,8,12,12,12,9,36,80,0.0,1020,15,10,276,5,94128
2017-02-14,18,10,0.0,7.1,3,71,09:49 PM,09:10 AM,07:00 AM,05:48 PM,9,13,13,13,8,16,77,0.0,1020,18,10,173,5,94128
2017-02-15,18,11,0.0,8.7,4,63,10:45 PM,09:42 AM,06:59 AM,05:49 PM,10,13,14,13,15,20,76,0.0,1017,18,10,165,9,94128
2017-02-16,15,11,0.0,7.2,3,55,11:41 PM,10:13 AM,06:57 AM,05:51 PM,11,12,13,12,27,54,85,12.1,1012,15,9,181,17,94128
2017-02-17,13,11,0.0,5.6,3,48,No moonrise,10:46 AM,06:56 AM,05:52 PM,11,10,12,10,33,82,90,18.8,993,13,9,142,22,94128
2017-02-18,12,9,0.0,5.6,3,40,12:35 AM,11:22 AM,06:55 AM,05:53 PM,8,9,11,9,34,68,81,3.8,1002,12,8,287,24,94128
2017-02-19,12,10,0.0,4.1,3,33,01:30 AM,12:01 PM,06:54 AM,05:54 PM,8,8,11,8,40,85,82,5.4,1011,12,8,166,26,94128
2017-02-20,14,12,0.0,4.1,3,25,02:22 AM,12:43 PM,06:52 AM,05:55 PM,12,11,13,11,48,88,93,108.1,1013,14,6,173,30,94128
2017-02-21,14,9,0.0,7.2,3,18,03:14 AM,01:31 PM,06:51 AM,05:56 PM,9,10,12,10,27,43,82,10.4,1022,14,9,245,17,94128
2017-02-22,12,7,0.0,8.7,3,10,04:02 AM,02:22 PM,06:50 AM,05:57 PM,4,6,9,6,33,9,71,0.8,1025,12,10,310,23,94128
2017-02-23,10,6,0.0,8.7,3,3,04:49 AM,03:18 PM,06:48 AM,05:58 PM,2,5,8,5,29,5,65,0.0,1024,10,10,314,19,94128
2017-02-24,11,6,0.0,8.7,3,0,05:32 AM,04:17 PM,06:47 AM,05:59 PM,2,7,8,7,11,14,66,0.0,1024,11,10,300,8,94128
2017-02-25,12,6,0.0,8.7,2,0,06:13 AM,05:20 PM,06:46 AM,06:00 PM,4,8,9,8,11,57,73,1.0,1021,12,10,167,8,94128
2017-02-26,13,8,0.0,8.7,3,0,06:51 AM,06:24 PM,06:44 AM,06:01 PM,4,9,10,9,14,29,69,0.4,1015,13,10,206,10,94128
2017-02-27,12,7,0.0,11.6,3,5,07:28 AM,07:30 PM,06:43 AM,06:02 PM,4,7,9,7,20,15,70,0.8,1015,12,10,315,13,94128
2017-02-28,13,7,0.0,11.6,4,12,08:04 AM,08:36 PM,06:42 AM,06:03 PM,4,8,10,8,23,1,69,0.0,1023,13,10,321,15,94128
2017-03-01,17,9,0.0,11.6,4,19,08:41 AM,09:43 PM,06:40 AM,06:04 PM,7,12,12,12,10,0,70,0.0,1028,17,10,142,8,94128
2017-03-02,18,10,0.0,11.6,4,26,09:20 AM,10:50 PM,06:39 AM,06:05 PM,8,13,13,13,12,1,73,0.0,1026,18,10,170,9,94128
2017-03-03,15,8,0.0,8.7,3,34,10:00 AM,11:57 PM,06:37 AM,06:06 PM,8,10,11,10,17,35,81,0.0,1019,15,10,313,11,94128
2017-03-04,13,9,0.0,8.7,3,41,10:45 AM,No moonset,06:36 AM,06:07 PM,9,9,11,9,27,65,86,5.1,1015,13,9,234,19,94128
2017-03-05,10,8,0.0,11.6,2,48,11:35 AM,01:02 AM,06:35 AM,06:08 PM,3,5,9,5,38,41,67,9.0,1015,10,9,267,26,94128
2017-03-06,12,7,0.0,10.2,3,55,12:28 PM,02:04 AM,06:33 AM,06:09 PM,5,8,9,8,14,50,73,4.7,1025,12,10,213,9,94128
2017-03-07,14,7,0.0,10.2,4,63,01:27 PM,03:02 AM,06:32 AM,06:09 PM,6,10,10,10,11,30,76,0.2,1027,14,10,244,7,94128
2017-03-08,18,9,0.0,11.6,4,70,02:28 PM,03:55 AM,06:30 AM,06:10 PM,10,12,13,12,14,6,79,0.0,1025,18,10,203,9,94128
2017-03-09,18,11,0.0,11.6,5,77,03:32 PM,04:41 AM,06:29 AM,06:11 PM,11,13,14,13,16,12,86,0.0,1022,18,10,314,10,94128
2017-03-10,19,11,0.0,11.6,4,85,04:34 PM,05:23 AM,06:27 AM,06:12 PM,12,14,14,14,13,29,85,0.0,1021,19,9,311,8,94128
2017-03-11,19,11,0.0,11.6,5,92,05:36 PM,06:01 AM,06:26 AM,06:13 PM,11,15,15,15,15,11,78,0.0,1021,19,10,300,10,94128
2017-03-12,21,11,0.0,11.6,5,99,06:36 PM,06:35 AM,06:24 AM,06:14 PM,11,15,16,15,13,2,77,0.0,1021,21,10,319,9,94128
2017-03-13,23,13,0.0,11.6,5,100,07:36 PM,07:08 AM,06:23 AM,06:15 PM,12,17,18,17,10,0,70,0.0,1019,23,10,215,7,94128
